date,pollutant,mean,std,min,max,count
2022-01-31,PM10,49.56125608137992,49.69019797153726,2.0,264.0,2261
2022-02-01,O3,64.46952296819788,16.724961469856975,2.0,105.0,2264
2022-02-01,PM2.5,21.283453887884267,28.4311712452736,1.0,328.0,2212
2022-02-01,PM10,30.981333333333332,36.32149786436555,2.0,366.0,2250
2022-02-02,O3,60.023461708720674,21.894246168463432,1.0,114.0,2259
2022-02-02,PM2.5,24.74197860962567,16.190537794918026,1.0,116.0,2244
2022-02-02,PM10,36.11145648312611,23.458903868314334,1.0,222.0,2252
2022-02-03,O3,63.98143236074271,22.858937932346073,1.0,130.0,2262
2022-02-03,PM2.5,24.865605658709107,19.880313231047584,1.0,126.0,2262
2022-02-03,PM10,37.28413610251878,28.87619894373132,1.0,169.0,2263
2022-02-04,O3,71.31211317418214,12.842404066951211,6.0,97.0,2262
2022-02-04,PM2.5,14.997330960854093,15.78663879381799,1.0,113.0,2248
2022-02-04,PM10,24.17316209034544,21.46694261335429,1.0,146.0,2258
2022-02-05,O3,66.33860342555995,17.483889777124666,2.0,99.0,2277
2022-02-05,PM2.5,13.664028144239227,9.778310442101452,1.0,76.0,2274
2022-02-05,PM10,23.767370272647316,15.724289213594002,1.0,136.0,2274
2022-02-06,O3,57.98109058927001,22.080270396059955,1.0,105.0,2274
2022-02-06,PM2.5,18.03566710700132,13.534373464100822,1.0,89.0,2271
2022-02-06,PM10,30.685903083700442,21.664797660366368,1.0,189.0,2270
2022-02-07,O3,50.841312056737586,25.567401446338334,1.0,120.0,2256
2022-02-07,PM2.5,22.27212389380531,15.703131470090645,1.0,141.0,2260
2022-02-07,PM10,37.583704363312556,25.423131252117162,2.0,218.0,2246
2022-02-08,O3,47.745141342756185,28.800749850327733,1.0,121.0,2264
2022-02-08,PM2.5,32.523914968999115,23.31527294354704,1.0,230.0,2258
2022-02-08,PM10,50.38141592920354,32.04117386697787,2.0,238.0,2260
2022-02-09,O3,46.51403118040089,31.02387045635294,1.0,121.0,2245
2022-02-09,PM2.5,53.658698539176626,23.727554399741624,3.0,145.0,2259
2022-02-09,PM10,76.97877045555065,31.951817032341516,3.0,194.0,2261
2022-02-10,O3,48.19166289080199,33.19095202231092,1.0,122.0,2207
2022-02-10,PM2.5,68.94407456724367,24.826919311531977,9.0,202.0,2253
2022-02-10,PM10,96.66057091882249,32.71639476443497,2.0,247.0,2242
2022-02-11,O3,46.48039215686274,27.478578086914453,1.0,136.0,2244
2022-02-11,PM2.5,64.71326485037963,33.58673463145954,1.0,200.0,2239
2022-02-11,PM10,94.46541722445338,42.66744879760715,3.0,298.0,2241
2022-02-12,O3,50.69322709163347,22.661572804461105,2.0,197.0,2259
2022-02-12,PM2.5,49.70650730411687,31.33202233943711,2.0,176.0,2259
2022-02-12,PM10,78.52408307556341,38.52543012097795,3.0,212.0,2263
2022-02-13,O3,47.848591549295776,19.133034944443096,2.0,115.0,2272
2022-02-13,PM2.5,50.40598855129899,31.647425231803595,1.0,200.0,2271
2022-02-13,PM10,73.88401947764497,41.74958343716896,2.0,410.0,2259
2022-02-14,O3,61.415636042402824,19.943625123733533,2.0,174.0,2264
2022-02-14,PM2.5,26.9769605671245,20.185875314892744,1.0,123.0,2257
2022-02-14,PM10,36.77117516629712,26.44114852698497,3.0,198.0,2255
2022-02-15,O3,57.451627284886314,21.027692307122066,1.0,101.0,2243
2022-02-15,PM2.5,27.819148936170212,18.606843722626458,1.0,140.0,2256
2022-02-15,PM10,38.80451127819549,24.374960451866553,3.0,144.0,2261
2022-02-16,O3,57.02032699955811,21.609242807309734,1.0,105.0,2263
2022-02-16,PM2.5,27.174834437086094,18.437350103410292,1.0,95.0,2265
2022-02-16,PM10,38.661226290251435,24.57262241386098,2.0,150.0,2267
2022-02-17,O3,52.19946808510638,20.127675798521793,1.0,96.0,2256
2022-02-17,PM2.5,34.750996898537885,22.85230322375566,2.0,158.0,2257
2022-02-17,PM10,48.52281789986708,27.676329400286726,3.0,189.0,2257
2022-02-18,O3,48.32203389830509,22.805400743879705,1.0,98.0,2242
2022-02-18,PM2.5,41.16569897275569,29.94776996979843,1.0,219.0,2239
2022-02-18,PM10,57.05649466192171,36.04356686383529,2.0,282.0,2248
2022-02-19,O3,66.08875464684014,17.456984412228767,1.0,99.0,2152
2022-02-19,PM2.5,13.820157189089228,12.546078568476945,1.0,100.0,2163
2022-02-19,PM10,26.83594470046083,21.89595838717261,2.0,313.0,2170
2022-02-20,O3,54.59475620975161,24.20525139579754,1.0,103.0,2174
2022-02-20,PM2.5,17.22672811059908,12.451277390275203,1.0,107.0,2170
2022-02-20,PM10,35.669581224114125,22.618698096889037,3.0,172.0,2173
2022-02-21,O3,57.89903181189488,21.91861058717668,1.0,101.0,2169
2022-02-21,PM2.5,15.824236817761332,12.625818407830307,1.0,92.0,2162
